"","state","district","cycle","numPolls","pollster1.name","pollster1.valid","pollster1.led","pollster1.methodology","pollster1.partybias","pollster1.dem","pollster1.rep","pollster2.name","pollster2.valid","pollster2.led","pollster2.methodology","pollster2.partybias","pollster2.dem","pollster2.rep","pollster3.name","pollster3.valid","pollster3.led","pollster3.methodology","pollster3.partybias","pollster3.dem","pollster3.rep","pollster4.name","pollster4.valid","pollster4.led","pollster4.methodology","pollster4.partybias","pollster4.dem","pollster4.rep","pollster5.name","pollster5.valid","pollster5.led","pollster5.methodology","pollster5.partybias","pollster5.dem","pollster5.rep","isMidterm","office_type"
"21","Vermont",0,2024,1,"Florida Atlantic University/Mainstreet Research",NA,NA,"IVR/Text-to-Web",NA,59.3,28.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"President"
"22","Virginia",0,2024,1,"Florida Atlantic University/Mainstreet Research",NA,NA,"IVR/Text-to-Web",NA,48.6,42.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"President"
"23",NA,0,2024,5,"Clarity","True",0.621722157047603,"Online Panel",NA,42,45,"Emerson","True",0.375539205487425,"IVR/Online Panel/Email",NA,51,49,"Siena/NYT","True",0.280089932452312,"Live Phone",NA,44,48,"Ipsos","True",0.250799003077838,"Probability Panel",NA,36,36,"Ipsos","True",0.250799003077838,"Probability Panel",NA,50,48,FALSE,"President"
"24","Alaska",1,2024,1,"Data for Progress","True",-0.375545239773664,"Online Panel/Text",NA,47.5,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"House"
"25","Florida",0,2024,1,"PPP","True",-0.802449751769917,"IVR/Text","DEM",41,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Senate"
"26","Minnesota",0,2024,1,"SurveyUSA","True",-0.369664178533671,"Online Panel",NA,49,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Senate"
"27","Missouri",0,2024,1,"Remington","True",-1.24243667151099,"IVR",NA,39,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Senate"
"28","Montana",0,2024,1,"Emerson","True",0.375539205487425,"Online Panel/Email/Text-to-Web",NA,44,42.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Senate"
"29","Nevada",0,2024,1,"Noble Predictive Insights","True",-0.213966631305127,"Online Panel",NA,43,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Senate"
"30","Ohio",0,2024,4,"Emerson","True",0.375539205487425,"IVR/Online Panel/Text-to-Web/Email",NA,38.7,34.1,"SurveyUSA","True",-0.369664178533671,"Online Panel",NA,42,39,"East Carolina University","True",-0.447913249574318,"IVR/Online Panel/Text-to-Web",NA,44.6,40.5,"Florida Atlantic University/Mainstreet Research",NA,NA,"IVR/Text-to-Web",NA,45.4,41.5,NA,NA,NA,NA,NA,NA,NA,FALSE,"Senate"
"31","Pennsylvania",0,2024,1,"Emerson","True",0.375539205487425,"IVR/Online Panel/Text-to-Web/Email",NA,52.3,47.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Senate"
"32","Missouri",0,2024,1,"Remington","True",-1.24243667151099,"IVR",NA,36,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Gubernatorial"
"33","North Carolina",0,2024,2,"Cygnal","True",0.449575412629498,"Live Phone/Text-to-Web",NA,39,43.8,"SurveyUSA","True",-0.369664178533671,"Online Panel",NA,44,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Gubernatorial"
